Countries,2000_DWU,2001_DWU,2002_DWU,2003_DWU,2004_DWU,2005_DWU,2006_DWU,2007_DWU,2008_DWU,2009_DWU,2010_DWU,2011_DWU,2012_DWU,2013_DWU,2014_DWU,2015_DWU,2016_DWU,2017_DWU,2018_DWU,2019_DWU,2020_DWU,2000_LEB,2010_LEB,2015_LEB,2019_LEB
Italy,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,79.4,81.9,82.2,83.0
Jamaica,93.0,93.0,93.0,94.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,91.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,91.0,74.2,75.8,75.9,76.0
Japan,98.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,81.1,82.7,83.6,84.3
Jordan,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,72.6,76.6,77.8,77.9
Kazakhstan,90.0,91.0,91.0,91.0,92.0,92.0,92.0,93.0,93.0,93.0,94.0,94.0,94.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,63.1,68.4,71.9,74.0
Kenya,47.0,48.0,49.0,50.0,50.0,51.0,52.0,52.0,53.0,54.0,55.0,55.0,56.0,57.0,57.0,58.0,59.0,60.0,60.0,61.0,62.0,53.9,61.2,64.2,66.1
Kiribati,60.0,61.0,62.0,63.0,63.0,64.0,65.0,66.0,68.0,69.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,76.0,77.0,78.0,55.7,58.0,58.2,59.4
Kuwait,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,77.9,79.8,81.1,81.0
Kyrgyzstan,80.0,80.0,81.0,81.0,82.0,82.0,83.0,84.0,84.0,85.0,85.0,86.0,87.0,87.0,88.0,88.0,89.0,90.0,90.0,91.0,92.0,66.0,69.2,71.6,74.2
Lao People's Democratic Republic,46.0,49.0,51.0,53.0,56.0,58.0,60.0,62.0,64.0,66.0,68.0,70.0,72.0,74.0,76.0,77.0,80.0,81.0,83.0,85.0,85.0,58.4,64.9,67.1,68.5
